customer_id,synthetic_archetype,age,region,occupation,monthly_income,tenure_months,checking_balance,savings_balance,investment_balance,credit_card_limit,credit_utilization,loan_balance,delinquency_events_12m,has_credit_card,has_savings,has_investments,has_personal_loan,has_insurance,has_mortgage,avg_monthly_transactions,total_transactions_12m,avg_monthly_inflow,avg_monthly_outflow,total_inflow_12m,total_outflow_12m,outflow_std,avg_card_spend,avg_pix_count,avg_cash_withdrawals,avg_app_logins,avg_branch_visits,digital_transaction_share,product_count,asset_total,credit_exposure,savings_rate,avg_ticket,movement_volatility,relationship_value,cluster_id,segment,segment_description
CLI000001,Tradicional Essencial,45,Sul,Aposentado,4409.63,188,898.47,13003.52,,5636.88,0.4194,9691.77,0,1,1,0,0,0,0,27.166666666666668,326,4646.3983333333335,3122.2724999999996,55756.78,37467.27,440.00560926434895,593.0133333333333,5.833333333333333,2.4166666666666665,7.666666666666667,2.5833333333333335,0.394325,2,13901.99,12055.877472,0.32802306732921094,114.93027607361962,0.14092479412490388,16915.959368,3,Tradicional Essencial,"Relacionamento longo, baixa digitalização, mais visitas à agência e produtos básicos."
CLI000002,Crédito Intensivo,30,Nordeste,Assalariado,5086.86,111,0.48,0.0,4741.05,11486.36,0.7851,42244.71,1,1,1,0,1,0,0,52.083333333333336,625,6343.266666666666,5690.610000000001,76119.2,68287.32,844.2134803903144,1901.5441666666666,22.583333333333332,1.4166666666666667,30.5,0.8333333333333334,0.7711166666666668,3,4741.53,51262.651236,0.10288967829404395,109.25971200000001,0.14835201856924202,17557.192809,0,Crédito Intensivo,"Maior exposição a crédito, utilização elevada e maior incidência de atraso."
CLI000003,Jovem em Ascensão,23,Norte,Autônomo,5977.11,18,1189.69,6628.03,5073.71,6214.79,0.6244,0.0,0,1,1,0,0,0,0,55.416666666666664,665,7660.089166666666,4958.171666666666,91921.06999999999,59498.06,781.7236754393616,1299.0649999999998,25.833333333333332,0.25,47.833333333333336,0.16666666666666666,0.9476166666666667,2,12891.43,3880.5148759999997,0.3527266381907869,89.47076691729323,0.15766369702259772,13861.558719,1,Jovem em Ascensão,"Clientes jovens, digitais, com renda e patrimônio em fase de crescimento."
CLI000004,Tradicional Essencial,47,Sudeste,Servidor público,3431.57,149,2224.21,9447.15,6205.04,4695.06,0.3478,0.0,0,0,0,0,0,0,0,20.25,243,3876.35,2717.48,46516.2,32609.760000000002,522.2241862544197,441.23583333333335,3.75,1.9166666666666667,5.0,4.25,0.356225,0,17876.4,1632.941868,0.2989590723231905,134.19654320987655,0.19217222804010323,18284.635467,3,Tradicional Essencial,"Relacionamento longo, baixa digitalização, mais visitas à agência e produtos básicos."
CLI000005,Alta Renda Investidor,41,Sudeste,Assalariado,25684.24,104,14517.34,27069.06,393288.76,25380.45,0.1078,59881.52,0,1,1,1,0,1,0,88.75,1065,26393.678333333333,17387.9075,316724.14,208654.89,2996.9614482463735,1025.32,40.5,2.4166666666666665,20.5,0.75,0.8431000000000001,4,434875.16000000003,62617.53251,0.3412093880813758,195.92008450704228,0.17235894820848185,450529.54312750004,2,Alta Renda Investidor,"Alta renda, patrimônio elevado, investimentos e amplo relacionamento com o banco."
CLI000006,Jovem em Ascensão,35,Nordeste,Autônomo,3810.69,32,2102.53,5021.68,0.0,4054.74,0.3835,1121.4,0,1,1,0,0,0,0,76.66666666666667,920,4013.9249999999997,3056.3891666666664,48167.1,36676.67,306.77566353217475,568.4408333333333,37.833333333333336,0.5833333333333334,43.5,0.3333333333333333,0.9446583333333334,2,7124.210000000001,2676.39279,0.2385534939824071,39.86594565217391,0.10037192477905157,7793.3081975000005,1,Jovem em Ascensão,"Clientes jovens, digitais, com renda e patrimônio em fase de crescimento."
CLI000007,Tradicional Essencial,63,Nordeste,Aposentado,6850.5,251,2294.83,0.0,7041.77,3997.05,0.4335,0.0,0,1,0,0,0,1,0,13.916666666666666,167,7519.923333333333,5862.974166666667,90239.08,70355.69,1330.83152398285,1225.0441666666668,2.0833333333333335,1.4166666666666667,4.666666666666667,3.25,0.290125,2,9336.6,1732.7211750000001,0.2203412313157448,421.29155688622757,0.2269891502420657,9769.78029375,3,Tradicional Essencial,"Relacionamento longo, baixa digitalização, mais visitas à agência e produtos básicos."
CLI000008,Tradicional Essencial,61,Sudeste,Aposentado,4671.19,127,7377.75,0.0,10398.16,5551.0,0.3176,3654.51,0,0,1,0,0,1,0,25.25,303,4100.8775,3078.3075000000003,49210.53,36939.69,449.0199878953558,566.5024999999999,4.916666666666667,2.0,6.583333333333333,4.083333333333333,0.38221666666666665,2,17775.91,5417.5076,0.24935394924622833,121.91316831683169,0.14586586554311282,19130.2869,3,Tradicional Essencial,"Relacionamento longo, baixa digitalização, mais visitas à agência e produtos básicos."
CLI000009,Alta Renda Investidor,45,Sudeste,Empresário,22841.1,158,10618.25,81805.38,227951.48,36147.66,0.2132,55761.61,0,1,1,1,0,0,1,65.75,789,21056.251666666667,13375.164166666667,252675.02000000002,160501.97,1507.7793561179983,1749.1025,27.416666666666668,1.9166666666666667,23.0,0.9166666666666666,0.8068333333333334,4,320375.11,63468.291112,0.3647889292736576,203.42455006337136,0.1127297831510478,336242.18277799996,2,Alta Renda Investidor,"Alta renda, patrimônio elevado, investimentos e amplo relacionamento com o banco."
CLI000010,Crédito Intensivo,39,Sul,Autônomo,7867.54,75,1783.86,2228.56,1374.97,9176.28,0.8254,27833.89,0,1,0,0,1,0,0,24.083333333333332,289,7531.330833333333,7412.93,90375.97,88955.16,936.6639164997911,3341.463333333333,9.5,0.8333333333333334,30.75,0.9166666666666666,0.77045,2,5387.39,35407.991512,0.015721103740297313,307.803321799308,0.12635542444077996,14239.387878000001,0,Crédito Intensivo,"Maior exposição a crédito, utilização elevada e maior incidência de atraso."
CLI000011,Digital Multirrelacionado,37,Sul,Autônomo,5358.53,55,10820.15,7392.35,24492.31,5611.54,0.3939,4296.17,0,1,1,0,1,0,0,80.66666666666667,968,5163.801666666666,4091.1875,61965.619999999995,49094.25,462.60651522600216,928.1225,41.0,0.4166666666666667,55.416666666666664,0.0,0.9592833333333334,3,42704.81,6506.555606,0.20771792487511617,50.71720041322314,0.11307389730390068,44331.4489015,4,Digital Multirrelacionado,"Uso intenso de canais digitais, alto volume transacional e vários produtos."
CLI000012,Jovem em Ascensão,20,Sudeste,Assalariado,5207.31,44,0.0,9381.28,2286.64,4474.25,0.5583,14059.61,1,1,1,0,0,0,0,52.083333333333336,625,6152.2283333333335,4603.760833333334,73826.74,55245.130000000005,741.8933094388649,1228.8716666666667,25.333333333333332,0.16666666666666666,49.916666666666664,0.25,0.960425,2,11667.92,16557.583775,0.2516921375642484,88.39220800000001,0.1611494029114671,15807.31594375,1,Jovem em Ascensão,"Clientes jovens, digitais, com renda e patrimônio em fase de crescimento."
