month,segment,active_customers,transactions,total_inflow,total_outflow,app_logins,branch_visits
2025-01-01,Alta Renda Investidor,1112,64350,25206861.03,17065731.79,26430,939
2025-01-01,Crédito Intensivo,1520,77534,7922223.62,7582597.64,42926,1671
2025-01-01,Digital Multirrelacionado,1894,147867,16870629.38,13606946.37,102079,257
2025-01-01,Jovem em Ascensão,1662,105025,8053544.38,6094137.85,77383,395
2025-01-01,Tradicional Essencial,1812,42356,7089415.67,5169308.93,10590,6378
2025-02-01,Alta Renda Investidor,1112,64095,25561029.1,17135646.07,25754,933
2025-02-01,Crédito Intensivo,1520,77197,7930917.85,7563880.86,43786,1688
2025-02-01,Digital Multirrelacionado,1894,148792,17012328.43,13605941.92,102924,242
2025-02-01,Jovem em Ascensão,1662,105362,8039587.3,6094326.98,78334,421
2025-02-01,Tradicional Essencial,1812,42258,7132683.47,5151207.48,10669,6333
2025-03-01,Alta Renda Investidor,1112,64155,25634150.11,16985706.48,26623,913
2025-03-01,Crédito Intensivo,1520,77375,7940747.25,7550650.83,43497,1716
2025-03-01,Digital Multirrelacionado,1894,149578,17162300.57,13725509.85,102467,255
2025-03-01,Jovem em Ascensão,1662,106146,8100540.07,6104985.7,77733,389
2025-03-01,Tradicional Essencial,1812,42309,7145985.08,5140196.05,10710,6335
2025-04-01,Alta Renda Investidor,1112,64308,25535435.27,17026614.51,26218,914
2025-04-01,Crédito Intensivo,1520,77559,7942698.67,7571527.06,43367,1654
2025-04-01,Digital Multirrelacionado,1894,150635,17178855.88,13697663.39,103093,232
2025-04-01,Jovem em Ascensão,1662,106472,8171545.5,6121250.78,77224,423
2025-04-01,Tradicional Essencial,1812,42374,7176619.43,5189712.93,10900,6407
2025-05-01,Alta Renda Investidor,1112,67858,25537285.05,17624872.37,25747,967
2025-05-01,Crédito Intensivo,1520,81781,7942248.5,7967773.02,43608,1692
2025-05-01,Digital Multirrelacionado,1894,158918,17273733.51,14277855.47,102075,259
2025-05-01,Jovem em Ascensão,1662,112900,8205102.34,6412178.27,77859,395
2025-05-01,Tradicional Essencial,1812,44814,7159782.43,5447460.4,10725,6336
2025-06-01,Alta Renda Investidor,1112,64687,25637517.3,17157160.11,26445,917
2025-06-01,Crédito Intensivo,1520,77607,7942746.79,7544009.43,42855,1734
2025-06-01,Digital Multirrelacionado,1894,152313,17414247.37,13634864.12,103273,230
2025-06-01,Jovem em Ascensão,1662,107221,8222023.01,6108628.74,78228,437
2025-06-01,Tradicional Essencial,1812,42354,7163138.36,5157643.65,10717,6308
2025-07-01,Alta Renda Investidor,1112,64813,25695878.99,16813536.85,25688,935
2025-07-01,Crédito Intensivo,1520,77923,7955929.82,7529581.64,43351,1673
2025-07-01,Digital Multirrelacionado,1894,153196,17464111.2,13643864.33,102476,244
2025-07-01,Jovem em Ascensão,1662,108437,8251727.45,6113165.04,77370,406
2025-07-01,Tradicional Essencial,1812,42418,7147743.71,5163137.81,11042,6296
2025-08-01,Alta Renda Investidor,1112,64294,25595798.09,17024141.84,26019,946
2025-08-01,Crédito Intensivo,1520,77863,7915376.15,7585278.23,43895,1710
2025-08-01,Digital Multirrelacionado,1894,154057,17509054.87,13586311.05,101724,217
2025-08-01,Jovem em Ascensão,1662,109335,8349631.0200000005,6109095.8,77257,398
2025-08-01,Tradicional Essencial,1812,42718,7250290.94,5158472.85,10533,6271
2025-09-01,Alta Renda Investidor,1112,64739,25816523.55,16976801.01,26120,921
2025-09-01,Crédito Intensivo,1520,77739,7961401.08,7599477.83,43284,1717
2025-09-01,Digital Multirrelacionado,1894,154780,17726557.37,13679683.7,102826,271
2025-09-01,Jovem em Ascensão,1662,109768,8389616.07,6098465.84,78089,402
2025-09-01,Tradicional Essencial,1812,42704,7202154.15,5192753.01,10789,6263
2025-10-01,Alta Renda Investidor,1112,64409,25861115.81,17194338.53,26383,914
2025-10-01,Crédito Intensivo,1520,78276,7953565.96,7602603.96,43619,1685
2025-10-01,Digital Multirrelacionado,1894,155905,17800075.96,13693663.51,101863,245
2025-10-01,Jovem em Ascensão,1662,110153,8443198.7,6050672.32,77396,405
2025-10-01,Tradicional Essencial,1812,42811,7180795.51,5128013.8,10433,6339
2025-11-01,Alta Renda Investidor,1112,67964,25545175.73,17774550.49,26190,948
2025-11-01,Crédito Intensivo,1520,81830,7979921.31,7943870.82,43084,1652
2025-11-01,Digital Multirrelacionado,1894,164286,17876309.6,14381250.95,102687,236
2025-11-01,Jovem em Ascensão,1662,116259,8493253.33,6415655.34,77191,415
2025-11-01,Tradicional Essencial,1812,45175,7186021.69,5416444.66,10808,6356
2025-12-01,Alta Renda Investidor,1112,72538,25809485.46,19014818.3,26502,939
2025-12-01,Crédito Intensivo,1520,87610,8049105.81,8513891.01,43552,1698
2025-12-01,Digital Multirrelacionado,1894,176057,17927710.52,15234901.74,102440,234
2025-12-01,Jovem em Ascensão,1662,125297,8600924.7,6861737.45,77481,377
2025-12-01,Tradicional Essencial,1812,48170,7210298.36,5824825.0,10542,6292
