customer_id,synthetic_archetype,age,region,occupation,monthly_income,tenure_months,checking_balance,savings_balance,investment_balance,credit_card_limit,credit_utilization,loan_balance,delinquency_events_12m,has_credit_card,has_savings,has_investments,has_personal_loan,has_insurance,has_mortgage
CLI000001,Tradicional Essencial,45,Sul,Aposentado,4409.63,188,898.47,13003.52,,5636.88,0.4194,9691.77,0,1,1,0,0,0,0
CLI000002,Crédito Intensivo,30,Nordeste,Assalariado,5086.86,111,0.48,0.0,4741.05,11486.36,0.7851,42244.71,1,1,1,0,1,0,0
CLI000003,Jovem em Ascensão,23,Norte,Autônomo,5977.11,18,1189.69,6628.03,5073.71,6214.79,0.6244,0.0,0,1,1,0,0,0,0
CLI000004,Tradicional Essencial,47,Sudeste,Servidor público,3431.57,149,2224.21,9447.15,6205.04,4695.06,0.3478,0.0,0,0,0,0,0,0,0
CLI000005,Alta Renda Investidor,41,Sudeste,Assalariado,25684.24,104,14517.34,27069.06,393288.76,25380.45,0.1078,59881.52,0,1,1,1,0,1,0
CLI000006,Jovem em Ascensão,35,Nordeste,Autônomo,3810.69,32,2102.53,5021.68,0.0,4054.74,0.3835,1121.4,0,1,1,0,0,0,0
CLI000007,Tradicional Essencial,63,Nordeste,Aposentado,6850.5,251,2294.83,0.0,7041.77,3997.05,0.4335,0.0,0,1,0,0,0,1,0
CLI000008,Tradicional Essencial,61,Sudeste,Aposentado,4671.19,127,7377.75,0.0,10398.16,5551.0,0.3176,3654.51,0,0,1,0,0,1,0
CLI000009,Alta Renda Investidor,45,Sudeste,Empresário,22841.1,158,10618.25,81805.38,227951.48,36147.66,0.2132,55761.61,0,1,1,1,0,0,1
CLI000010,Crédito Intensivo,39,Sul,Autônomo,7867.54,75,1783.86,2228.56,1374.97,9176.28,0.8254,27833.89,0,1,0,0,1,0,0
CLI000011,Digital Multirrelacionado,37,Sul,Autônomo,5358.53,55,10820.15,7392.35,24492.31,5611.54,0.3939,4296.17,0,1,1,0,1,0,0
CLI000012,Jovem em Ascensão,20,Sudeste,Assalariado,5207.31,44,0.0,9381.28,2286.64,4474.25,0.5583,14059.61,1,1,1,0,0,0,0
CLI000013,Tradicional Essencial,59,Centro-Oeste,Autônomo,4584.93,246,2472.56,10454.39,6404.19,1051.01,0.1917,12009.67,1,1,0,0,0,1,0
CLI000014,Jovem em Ascensão,31,Nordeste,Autônomo,6104.5,43,1824.59,1221.88,12023.36,8159.77,0.5126,1430.94,0,1,1,1,1,0,0
CLI000015,Crédito Intensivo,30,Sudeste,Empresário,6114.5,119,2887.41,8600.39,0.0,6936.88,0.9447,15690.67,0,1,0,0,1,1,0
CLI000016,Digital Multirrelacionado,34,Sudeste,Servidor público,10982.78,64,1268.12,5900.15,17153.22,11594.3,0.3777,45448.26,0,1,1,0,0,1,0
