customer_id,month,transaction_count,total_inflow,total_outflow,pix_count,card_spend,cash_withdrawals,app_logins,branch_visits,digital_transaction_share
CLI000001,2025-01-01,24,4208.8,2316.96,6,443.34,2,6,4,0.5255
CLI000001,2025-02-01,25,4430.0,3242.92,4,738.61,3,6,3,0.2422
CLI000001,2025-03-01,30,4330.57,2557.02,6,563.87,2,0,4,0.4286
CLI000001,2025-04-01,19,5121.21,3669.33,1,664.28,2,15,2,0.1825
CLI000001,2025-05-01,28,5055.84,3426.11,4,536.93,3,10,2,0.24
CLI000001,2025-06-01,27,5174.02,3121.11,3,465.96,3,9,3,0.2847
CLI000001,2025-07-01,29,4003.85,3576.83,5,536.94,2,12,2,0.3807
CLI000001,2025-08-01,28,4990.46,3458.99,8,814.26,2,16,2,0.5345
CLI000001,2025-09-01,30,4599.37,2870.69,8,665.58,2,0,3,0.5093
CLI000001,2025-10-01,23,4794.92,3364.39,10,572.13,1,0,0,0.6673
CLI000001,2025-11-01,32,4391.43,2584.52,4,473.1,5,8,3,0.1983
CLI000001,2025-12-01,31,4656.31,3278.4,11,641.16,2,10,3,0.5383
CLI000002,2025-01-01,49,5698.4,4402.52,25,1517.53,1,28,1,0.7839
CLI000002,2025-02-01,44,6053.67,4728.84,15,1875.3,3,20,1,0.647
CLI000002,2025-03-01,50,5562.28,6119.77,30,1740.3,0,27,1,0.9872
CLI000002,2025-04-01,52,5927.97,6257.26,26,1766.77,2,20,0,0.7841
CLI000002,2025-05-01,52,5083.17,5730.86,19,1913.19,2,16,1,0.7158
CLI000002,2025-06-01,55,6229.76,7105.26,16,2735.11,2,58,1,0.6276
CLI000002,2025-07-01,53,6711.91,6238.19,22,1872.6,2,26,0,0.648
CLI000002,2025-08-01,60,7084.61,4963.24,31,1564.73,1,33,1,0.8529
CLI000002,2025-09-01,51,6479.57,6060.08,23,2400.78,1,38,2,0.8144
CLI000002,2025-10-01,56,6579.0,5640.84,27,1843.88,1,35,0,0.8697
CLI000002,2025-11-01,51,7513.74,4592.49,19,1504.8,1,35,2,0.7408
CLI000002,2025-12-01,52,7195.12,6447.97,18,2083.54,1,30,0,0.782
CLI000003,2025-01-01,53,8631.55,3449.32,22,834.58,0,57,0,0.9949
CLI000003,2025-02-01,59,7513.67,4949.59,23,1262.74,0,42,0,0.9659
CLI000003,2025-03-01,66,7765.32,4056.22,29,884.25,0,33,0,0.9721
CLI000003,2025-04-01,51,6474.83,5369.59,24,1275.57,0,45,1,0.9371
CLI000003,2025-05-01,66,8331.5,4665.37,36,1063.37,0,56,1,0.9611
CLI000003,2025-06-01,52,6126.65,6285.77,24,1913.48,0,35,0,0.9192
CLI000003,2025-07-01,51,7636.71,5233.82,29,1358.22,0,42,0,0.9487
CLI000003,2025-08-01,52,9050.69,5798.84,20,1253.51,0,39,0,0.9363
CLI000003,2025-09-01,56,8276.27,4635.36,24,1582.22,1,54,0,0.9319
CLI000003,2025-10-01,53,8304.19,4337.15,27,917.18,1,59,0,0.9267
CLI000003,2025-11-01,51,6882.28,5255.7,21,1742.18,0,53,0,0.955
CLI000003,2025-12-01,55,6927.41,5461.33,31,1501.48,1,59,0,0.9225
CLI000004,2025-01-01,17,4185.37,2977.08,5,547.42,1,7,4,0.5776
CLI000004,2025-02-01,20,3963.98,2155.05,5,254.2,2,0,4,0.3693
CLI000004,2025-03-01,22,3365.68,3181.1,4,582.59,1,3,5,0.3196
CLI000004,2025-04-01,23,3987.93,3161.96,2,585.95,4,5,4,0.143
CLI000004,2025-05-01,21,4559.43,3584.65,1,610.81,3,2,4,0.1755
CLI000004,2025-06-01,17,3578.43,2256.69,4,395.12,1,2,3,0.4294
CLI000004,2025-07-01,17,3008.74,3039.0,3,420.96,2,9,6,0.4069
CLI000004,2025-08-01,20,4148.83,2969.81,1,541.94,3,12,4,0.0584
CLI000004,2025-09-01,20,3799.58,2319.93,7,373.01,1,13,5,0.6859
CLI000004,2025-10-01,21,3922.86,2832.9,5,390.52,1,0,5,0.3999
CLI000004,2025-11-01,27,4560.87,1905.23,5,291.94,2,0,2,0.3537
CLI000004,2025-12-01,18,3434.5,2226.36,3,300.37,2,7,5,0.3555
CLI000005,2025-01-01,74,23879.09,17402.7,29,1183.84,1,20,0,0.928
CLI000005,2025-02-01,78,25708.0,11890.18,37,846.82,1,22,1,0.938
CLI000005,2025-03-01,85,26786.43,23717.53,30,1531.44,4,23,2,0.7319
